accuracy,-1.precision,-1.recall,-1.f1-score,-1.support,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support
0.42916235780765255,0.08707865168539326,0.7045454545454546,0.155,44,0.16666666666666666,0.003067484662576687,0.006024096385542168,326,0.6330578512396694,0.6415410385259631,0.637271214642263,597,0.29560105653057644,0.44971799257799816,0.2660984370092684,967,0.4509827623552981,0.42916235780765255,0.40251785994117656,967
0.45087900723888313,0.07854984894259819,0.5416666666666666,0.13720316622691292,48,0.2857142857142857,0.006535947712418301,0.012779552715654953,306,0.6486486486486487,0.6655791190864601,0.6570048309178745,613,0.3376375944351775,0.4045939111551817,0.2689958499534808,967,0.5055021569797702,0.45087900723888313,0.4273425609747046,967
0.4095139607032058,0.08695652173913043,0.6923076923076923,0.15450643776824036,52,0.5,0.023333333333333334,0.0445859872611465,300,0.6549165120593692,0.5739837398373984,0.6117850953206239,615,0.41395767793283317,0.42987492182614134,0.2702925067833369,967,0.5763137477217651,0.4095139607032058,0.41122850523730725,967
0.42295760082730094,0.0584958217270195,0.5833333333333334,0.10632911392405062,36,0.3333333333333333,0.0030959752321981426,0.006134969325153374,323,0.6396694214876033,0.6365131578947368,0.6380873866446826,608,0.3438328588493187,0.40764748882008944,0.2501838232979622,967,0.5157099529610157,0.42295760082730094,0.40720431672518853,967
0.4188210961737332,0.0654911838790932,0.6666666666666666,0.11926605504587157,39,0.5,0.010101010101010102,0.019801980198019806,297,0.6666666666666666,0.595879556259905,0.6292887029288703,631,0.41071928351525333,0.42421574434252723,0.25611891272425386,967,0.59123146105269,0.41882109617373325,0.42152402876289347,967
0.38986556359875907,0.07881773399014778,0.64,0.14035087719298245,50,0.3333333333333333,0.006191950464396285,0.0121580547112462,323,0.618018018018018,0.5774410774410774,0.5970409051348999,594,0.34338969511383305,0.4078776759684912,0.24984994567970953,967,0.4950468004848777,0.38986556359875907,0.37806297123217397,967
0.4043433298862461,0.07518796992481203,0.6976744186046512,0.13574660633484162,43,0.2222222222222222,0.00625,0.012158054711246202,320,0.6422182468694096,0.5943708609271523,0.6173688736027515,604,0.31320947967214796,0.4327650931772678,0.25509117821627975,967,0.47801862970734377,0.4043433298862461,0.3956757820434942,967
0.41778697001034126,0.07547169811320754,0.5833333333333334,0.13365155131264916,48,0.5,0.012269938650306749,0.02395209580838323,326,0.6326530612244898,0.627318718381113,0.6299745977984759,593,0.4027082531125658,0.40764066345491773,0.2625260816398361,967,0.5602749811949912,0.41778697001034126,0.4010326723795618,967
0.4270941054808687,0.08051948051948052,0.7209302325581395,0.14485981308411214,43,0.45454545454545453,0.015873015873015872,0.030674846625766868,315,0.660245183887916,0.6190476190476191,0.6389830508474577,609,0.398436706317617,0.45195028915959146,0.27150590351911225,967,0.5674596409843812,0.4270941054808687,0.41885442256032585,967
0.35470527404343327,0.07385229540918163,0.8043478260869565,0.1352833638025594,46,0.3333333333333333,0.00974025974025974,0.01892744479495268,308,0.6630196936542669,0.49429037520391517,0.5663551401869159,613,0.35673510746559395,0.43612615367704377,0.24018864959480934,967,0.5299844306779262,0.35470527404343327,0.3714874753529913,967
0.4095139607032058,0.08970976253298153,0.6415094339622641,0.15740740740740738,53,0.25,0.0030864197530864196,0.0060975609756097554,324,0.6181506849315068,0.611864406779661,0.6149914821124361,590,0.3192868158214961,0.4188200868316705,0.25949881683181775,967,0.4658361132614654,0.4095139607032058,0.38589780433818766,967
0.42605997931747674,0.08726415094339622,0.7551020408163265,0.15644820295983086,49,0.5,0.0034602076124567475,0.006872852233676976,289,0.6913123844731978,0.5945945945945946,0.6393162393162393,629,0.426192178472198,0.45105228100779265,0.2675457648365824,967,0.6035278523576709,0.42605997931747674,0.42583467504703093,967
0.3857290589451913,0.07424593967517401,0.6956521739130435,0.13417190775681342,46,0.3333333333333333,0.006153846153846154,0.012084592145015106,325,0.6396226415094339,0.5687919463087249,0.6021314387211367,596,0.34906730483931375,0.4235326554585382,0.2494626462076551,967,0.5097867020661985,0.3857290589451913,0.3815612592365469,967
