accuracy,-1.precision,-1.recall,-1.f1-score,-1.support,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support
0.3081695966907963,0.07567567567567568,0.7924528301886793,0.13815789473684212,53,0.4444444444444444,0.06369426751592357,0.11142061281337047,314,0.6430517711171662,0.3933333333333333,0.48810754912099275,600,0.3877239637457621,0.4164934770126454,0.24589535222373513,967,0.5474637321992409,0.3081695966907963,0.3466111378666459,967
0.3185108583247156,0.06224899598393574,0.7045454545454546,0.11439114391143912,44,0.35294117647058826,0.056782334384858045,0.09782608695652176,317,0.6196172248803827,0.4273927392739274,0.5058593749999999,606,0.3449357991116356,0.39624017606808,0.23935886862265357,967,0.5068348986990502,0.3185108583247156,0.354286309356071,967
0.31023784901758017,0.061452513966480445,0.66,0.11243611584327087,50,0.36538461538461536,0.05993690851735016,0.10298102981029811,317,0.656084656084656,0.41333333333333333,0.5071574642126789,600,0.36097392847858395,0.3777567472835612,0.2408582032887493,967,0.5300417191582635,0.31023784901758017,0.35425157266766844,967
0.2874870734229576,0.06518010291595197,0.8260869565217391,0.12082670906200317,46,0.40540540540540543,0.04838709677419355,0.08645533141210375,310,0.6484149855907781,0.36824877250409166,0.4697286012526096,611,0.37300016463737845,0.41424094193334143,0.22567021390890551,967,0.5427668217226215,0.2874870734229576,0.33026200281277013,967
0.29472595656670114,0.06946983546617916,0.7307692307692307,0.12687813021702837,52,0.4666666666666667,0.0625,0.11023622047244094,336,0.6026666666666667,0.3903281519861831,0.47379454926624737,579,0.37960105626650414,0.3945324609184713,0.23696963331857224,967,0.5267388122484399,0.29472595656670114,0.32881497091539075,967
0.2936918304033092,0.08247422680412371,0.8275862068965517,0.14999999999999997,58,0.3090909090909091,0.054313099041533544,0.09239130434782608,313,0.6636363636363637,0.3674496644295302,0.4730021598272139,596,0.3517338331771322,0.41644965678920515,0.23846448805834664,967,0.5140188546301618,0.2936918304033092,0.330432022252212,967
0.31023784901758017,0.07207207207207207,0.7547169811320755,0.13157894736842105,53,0.28205128205128205,0.03503184713375796,0.0623229461756374,314,0.6675603217158177,0.415,0.5118191161356629,600,0.34056122527972393,0.4015829427552778,0.2352403365599071,967,0.509741587811182,0.31023784901758017,0.3450202264643994,967
0.3019648397104447,0.05555555555555555,0.6976744186046512,0.10291595197255574,43,0.3939393939393939,0.04113924050632911,0.07449856733524354,316,0.631979695431472,0.4095394736842105,0.4970059880239521,608,0.3604915483088072,0.38278437759839695,0.22480683577725047,967,0.5285598678346146,0.3019648397104447,0.3414132098565871,967
0.2823164426059979,0.06394316163410302,0.7058823529411765,0.11726384364820848,51,0.35,0.06930693069306931,0.11570247933884298,303,0.627906976744186,0.3523654159869494,0.45141065830721006,613,0.34728337945942966,0.37585156654039836,0.2281256604314205,967,0.511083844868175,0.2823164426059979,0.3285967329969471,967
0.3112719751809721,0.05989110707803993,0.7333333333333333,0.11073825503355704,45,0.5,0.07096774193548387,0.12429378531073447,310,0.6612903225806451,0.4019607843137255,0.5,612,0.40706047655289507,0.4020872865275142,0.24501068011476382,967,0.5815974945582901,0.3112719751809721,0.36144187685919105,967
0.3154084798345398,0.0683453237410072,0.7916666666666666,0.12582781456953643,48,0.4423076923076923,0.0732484076433121,0.12568306010928962,314,0.6796657381615598,0.4033057851239669,0.5062240663900414,605,0.39677291807008647,0.4227402864779819,0.25257831368962247,967,0.572247117385654,0.3154084798345398,0.36377432899651474,967
0.3391933815925543,0.07184466019417475,0.7254901960784313,0.13074204946996465,51,0.42857142857142855,0.08304498269896193,0.13913043478260867,289,0.6742424242424242,0.4258373205741627,0.5219941348973607,627,0.3915528376693425,0.41145749978385204,0.26395553971664465,967,0.5690498661086306,0.3391933815925543,0.3869357422500385,967
0.29162357807652534,0.061837455830388695,0.7291666666666666,0.11400651465798047,48,0.43478260869565216,0.029411764705882353,0.05509641873278237,340,0.626984126984127,0.40932642487046633,0.4952978056426332,579,0.37453473050338926,0.3893016187476717,0.221466913011132,967,0.5313527346020578,0.29162357807652534,0.32159516498429547,967
0.2988624612202689,0.08214285714285714,0.7931034482758621,0.14886731391585759,58,0.4528301886792453,0.07079646017699115,0.12244897959183673,339,0.6186440677966102,0.38421052631578945,0.474025974025974,570,0.3845390378729043,0.4160368115895476,0.24844742251122276,967,0.5283359238062231,0.2988624612202689,0.33127126523635736,967
0.3081695966907963,0.08163265306122448,0.7213114754098361,0.14666666666666667,61,0.35555555555555557,0.05144694533762058,0.0898876404494382,311,0.6214099216710183,0.4,0.4867075664621677,595,0.3528660434292661,0.39091947358248563,0.2410872911927575,967,0.5018575729149621,0.3081695966907963,0.3376346689673544,967
0.3029989658738366,0.05380333951762523,0.7435897435897436,0.10034602076124567,39,0.3488372093023256,0.04777070063694268,0.08403361344537816,314,0.6467532467532467,0.40553745928338764,0.4984984984984984,614,0.3497979318577325,0.3989659678366913,0.22762604423504076,967,0.5261010418496496,0.3029989658738366,0.34785742245048124,967
0.28852119958634953,0.054982817869415807,0.8205128205128205,0.10305958132045089,39,0.3333333333333333,0.0436241610738255,0.0771513353115727,298,0.6763005780346821,0.37142857142857144,0.47950819672131145,630,0.3548722430791438,0.4118551843384058,0.21990637111777836,967,0.5455501834458018,0.28852119958634953,0.3403315258829085,967
0.2957600827300931,0.054982817869415807,0.8421052631578947,0.10322580645161289,38,0.3829787234042553,0.058823529411764705,0.10198300283286119,306,0.6982248520710059,0.37881219903691815,0.4911550468262227,623,0.37872879778155905,0.42658033053552585,0.23212128537023224,967,0.5731901957404102,0.2957600827300931,0.3527600555168082,967
0.30713547052740436,0.06666666666666667,0.6727272727272727,0.12131147540983606,55,0.35294117647058826,0.058823529411764705,0.10084033613445378,306,0.6703601108033241,0.39933993399339934,0.500517063081696,606,0.36332265131352637,0.37696357871081226,0.2408896248753286,967,0.5355790008412421,0.30713547052740436,0.3524742649764132,967
0.27404343329886244,0.058823529411764705,0.7608695652173914,0.10920436817472698,46,0.5,0.04838709677419355,0.08823529411764706,310,0.6286549707602339,0.3518821603927987,0.45120671563483733,611,0.3958261667239995,0.3870462741281278,0.21621545930907046,967,0.5603041049508213,0.27404343329886244,0.31857667566224784,967
0.28955532574974147,0.056239015817223195,0.7111111111111111,0.1042345276872964,45,0.3157894736842105,0.03896103896103896,0.06936416184971098,308,0.6555555555555556,0.38436482084690554,0.48459958932238195,614,0.34252801501899643,0.37814565697301855,0.2193994262864631,967,0.5194467680637259,0.28955532574974147,0.3346420511267651,967
0.2854188210961737,0.04701627486437613,0.6842105263157895,0.08798646362098139,38,0.3333333333333333,0.043478260869565216,0.07692307692307691,322,0.6344086021505376,0.38879736408566723,0.48212461695607767,607,0.33825273678274903,0.372162050423674,0.21567805250004532,967,0.5110713270771002,0.2854188210961737,0.3317087475482598,967
0.2988624612202689,0.06514084507042253,0.7872340425531915,0.12032520325203253,47,0.32432432432432434,0.038834951456310676,0.06936416184971099,309,0.6629834254143646,0.39279869067103107,0.4933196300102774,611,0.3508161982697038,0.40628922822684443,0.2276696650373403,967,0.5257091094753907,0.2988624612202689,0.3397177916242872,967
0.30610134436401243,0.062388591800356503,0.7,0.11456628477905074,50,0.43333333333333335,0.041935483870967745,0.07647058823529412,310,0.6595744680851063,0.4085667215815486,0.5045778229908443,607,0.3850987977395987,0.38350073515083877,0.23187156533506306,967,0.5561680093598871,0.30610134436401243,0.3471695296249599,967
0.3185108583247156,0.06398537477148081,0.6730769230769231,0.11686143572621037,52,0.4523809523809524,0.06312292358803986,0.1107871720116618,301,0.671957671957672,0.41368078175895767,0.5120967741935484,614,0.39610799970336846,0.38329354280797356,0.2465817939771402,967,0.5709161496761058,0.3185108583247156,0.36592673504458306,967
0.3154084798345398,0.06605504587155964,0.7346938775510204,0.12121212121212122,49,0.6216216216216216,0.07120743034055728,0.12777777777777777,323,0.638961038961039,0.4134453781512605,0.5020408163265306,595,0.4422125688180734,0.4064488953476128,0.2503435717721432,967,0.6041388823302052,0.3154084798345398,0.357731025724821,967
0.2988624612202689,0.06097560975609756,0.7,0.11217948717948717,50,0.37037037037037035,0.06968641114982578,0.11730205278592376,287,0.6902654867256637,0.37142857142857144,0.48297213622291024,630,0.3738704889507105,0.3803716608594658,0.23748455872944038,967,0.562784212431509,0.2988624612202689,0.35527105411475485,967
0.3081695966907963,0.06386861313868614,0.7777777777777778,0.11804384485666106,45,0.4864864864864865,0.05521472392638037,0.09917355371900827,326,0.6413612565445026,0.4110738255033557,0.5010224948875256,596,0.39723878538989177,0.41468877573583796,0.239413297821065,967,0.562275068341633,0.3081695966907963,0.34772694775999136,967
