accuracy,-1.precision,-1.recall,-1.f1-score,-1.support,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support
0.41675284384694933,0.09487179487179487,0.7254901960784313,0.1678004535147392,51,0.5714285714285714,0.025078369905956112,0.04804804804804804,319,0.6358792184724689,0.5996649916247906,0.6172413793103447,597,0.43405986159094506,0.4500778525363927,0.27769662695771063,967,0.5860848699609511,0.41675284384694933,0.4057686183090536,967
0.40330920372285417,0.0610079575596817,0.6388888888888888,0.11138014527845036,36,0.6363636363636364,0.020895522388059702,0.04046242774566474,335,0.6217616580310881,0.6040268456375839,0.6127659574468085,596,0.439711083984802,0.4212704189715108,0.2548695101569745,967,0.6059442118309154,0.40330920372285417,0.39583568682845893,967
0.44260599793174765,0.0967741935483871,0.7021276595744681,0.17010309278350516,47,0.16666666666666666,0.0030864197530864196,0.006060606060606061,324,0.635483870967742,0.6610738255033557,0.6480263157894737,596,0.2996415770609319,0.4554293016103034,0.27473000487786164,967,0.45222003536044303,0.44260599793174765,0.409702343262655,967
0.3815925542916236,0.06763285024154589,0.7368421052631579,0.12389380530973451,38,0.3333333333333333,0.006042296072507553,0.011869436201780416,331,0.6197440585009141,0.5668896321070234,0.5921397379912663,598,0.3402367473585978,0.4365913444808962,0.24263432650092706,967,0.5000106811024392,0.3815925542916236,0.3751151099310615,967
0.46328852119958636,0.08024691358024691,0.6341463414634146,0.14246575342465753,41,0.5,0.006369426751592357,0.012578616352201259,314,0.6572769953051644,0.6862745098039216,0.6714628297362111,612,0.4125079696284704,0.4422634260063096,0.2755023998376899,967,0.5817411009137029,0.46328852119958636,0.4350837985765908,967
0.37745604963805585,0.06919642857142858,0.775,0.12704918032786885,40,0.6,0.019543973941368076,0.037854889589905356,307,0.6444007858546169,0.5290322580645161,0.5810451727192206,620,0.4378657381420152,0.4411920773352948,0.24864974754566493,967,0.6065112144495549,0.37745604963805585,0.3898153313372622,967
0.4105480868665977,0.08354430379746836,0.7021276595744681,0.1493212669683258,47,0.3,0.010169491525423728,0.019672131147540982,295,0.6423487544483986,0.5776,0.6082561078348778,625,0.3419643527486223,0.4299657170332973,0.2590831686502482,967,0.5107492800503931,0.4105480868665977,0.406392394656499,967
0.38055842812823165,0.06372549019607843,0.6046511627906976,0.11529933481152992,43,0.3333333333333333,0.006060606060606061,0.011904761904761906,330,0.6148282097649186,0.5723905723905723,0.5928509154315605,594,0.3372956777647768,0.3943674470806253,0.24001833738261746,967,0.4942586894299824,0.3805584281282316,0.3733607927526517,967
0.390899689762151,0.05569007263922518,0.6216216216216216,0.10222222222222221,37,0.5,0.006172839506172839,0.012195121951219511,324,0.6418181818181818,0.5825082508250825,0.610726643598616,606,0.39916941815246904,0.4034342373176257,0.24171466259068589,967,0.5718741994513645,0.390899689762151,0.39072780533110507,967
0.37745604963805585,0.08024691358024691,0.7358490566037735,0.14471243042671614,53,0.5714285714285714,0.012903225806451613,0.025236593059936908,310,0.679324894514768,0.5331125827814569,0.5974025974025975,604,0.4436667931745288,0.4272882883972273,0.2557838736297502,967,0.6119009098754189,0.3774560496380558,0.38916677506966424,967
