video-dislikes,video-title,video-link,video-likes,video-views,video-date,video-channel,video-comment-count
111,XIAOMI REDMI 9 vale a pena? É O CUSTO BENEFÍCIO DE 2020?,https://www.youtube.com/watch?v=AmF9XRmeQPA,8429,135881,2020-08-18T21:43:33Z,EscolhaSegura,859
385,"Redmi Note 9, BARATO ou FORA DA REALIDADE? [Análise/Review]",https://www.youtube.com/watch?v=Agc-V0-64k4,16268,233657,2020-07-20T00:00:03Z,Canaltech,745
29,PERFEITO PELO PREÇO💲Xiaomi Redmi 9 Global🔥Análise,https://www.youtube.com/watch?v=Tp4JrKQ_Bc0,2623,52637,2020-06-30T16:43:18Z,Tiago Ramos,240
892,XIAOMI REDMI NOTE 9 vale a pena? CONTINUA o MELHOR CUSTO BENEFÍCIO? // Análise Review Completo!,https://www.youtube.com/watch?v=89XzlH68XwU,19046,505438,2020-07-21T22:02:52Z,EscolhaSegura,1263
229,O XIAOMI MAIS BARATO 🤑 REDMI 9 ESTÁ UM ESPETÁCULO PELO SEU PREÇO 😍,https://www.youtube.com/watch?v=DWItlIiMRug,17234,263215,2020-07-03T22:00:03Z,K Tech,1373
586,XIAOMI MI 9 vale a pena? | Análise / Review Completo,https://www.youtube.com/watch?v=4V8j2HU-Ljk,22834,563628,2019-06-16T17:30:00Z,EscolhaSegura,1078
308,Xiaomi Redmi Note 9 vs Redmi 9 - ENTENDA QUAL O MELHOR PRA VOCÊ! QUAL COMPRAR? TEM MUITA DIFERENÇA?,https://www.youtube.com/watch?v=k2xA73AtCUE,32003,450403,2020-10-08T17:45:01Z,Gesiel Taveira,2621
205,"Com ele! O MAIS BARATO DA XIAOMI EM 2020! Redmi 9A, MELHOROU? ou PIOROU? 🥵",https://www.youtube.com/watch?v=0EUg5QZoonQ,8523,141635,2020-08-19T15:15:08Z,Jersu,818
174,"REDMI 9, o verdadeiro XIAOMI bom e barato? Vale a pena COMPRAR esse SMARTPHONE pra VOCÊ? Olha isso!",https://www.youtube.com/watch?v=85eTN4iyoxY,25810,365530,2020-08-30T16:30:00Z,Gesiel Taveira,2416
619,"Redmi Note 9, esse XIAOMI tá vendendo MUITO! Será uma BOA OPÇÃO pra VOCÊ? Assista esse vídeo",https://www.youtube.com/watch?v=4DV9lgzEKcI,50925,743566,2020-08-11T15:10:00Z,Gesiel Taveira,4488
241,XIAOMI MI 9: ótimo competidor que não custa US$ 1.000 [Análise / Review],https://www.youtube.com/watch?v=PeyAkq1gaEk,16347,315760,2019-05-21T17:43:43Z,Canaltech,577
618,O Smartphone mais BARATO com 128GB no BRASIL! PHILCO HIT MAX - Unboxing e Impressões,https://www.youtube.com/watch?v=_cBao8i7h48,42442,612707,2020-09-06T20:00:02Z,Gesiel Taveira,3254
134,COMPENSA COMPRAR o smartphone mais BARATO do BRASIL com 128GB? O PHILCO HIT MAX é uma BOA OPÇÃO?,https://www.youtube.com/watch?v=ruGvEDrLAqM,13210,126050,2020-10-01T16:35:00Z,Gesiel Taveira,1316
55,Philco HIT MAX - PCS02 | E não é que me SURPREENDEU? Unboxing e Impressões,https://www.youtube.com/watch?v=Q57RwtkGyYc,3857,50476,2020-09-06T23:00:03Z,brasiliGEEKS,459
173,"Philco Hit Plus: poucas mudanças, mas importantes [Unboxing/Hands-on]",https://www.youtube.com/watch?v=sO4eFoLQr7g,9728,85926,2020-07-21T17:00:12Z,Canaltech,287
171,"Philco Hit PCS01, o primeiro smartphone da empresa que é cheio de acertos [ANÁLISE/REVIEW]",https://www.youtube.com/watch?v=EpKqOYU3_xw,14294,139114,2020-06-26T16:00:12Z,Canaltech,635
