iter	Passed	Remaining
401	18615	27691
402	18662	27645
403	18709	27601
404	18761	27563
405	18808	27517
406	18860	27479
407	18939	27480
408	18983	27431
409	19034	27391
410	19084	27350
411	19129	27300
412	19174	27252
413	19225	27212
414	19268	27162
415	19313	27112
416	19355	27060
417	19399	27011
418	19439	26955
419	19479	26900
420	19528	26856
421	19582	26821
422	19625	26771
423	19676	26729
424	19726	26688
425	19774	26643
426	19820	26597
427	19864	26548
428	19905	26494
429	19953	26450
430	19999	26402
431	20039	26348
432	20083	26299
433	20118	26237
434	20169	26196
435	20214	26149
436	20257	26098
437	20301	26049
438	20341	25994
439	20389	25950
440	20437	25906
441	20479	25854
442	20523	25805
443	20562	25749
444	20610	25704
445	20660	25663
446	20700	25609
447	20739	25554
448	20792	25515
449	20836	25466
450	20876	25413
451	20920	25363
452	20958	25307
453	21000	25256
454	21037	25198
455	21073	25140
456	21106	25078
457	21141	25018
458	21179	24963
459	21227	24919
460	21271	24870
461	21316	24823
462	21358	24772
463	21401	24721
464	21441	24669
465	21487	24623
466	21537	24580
467	21621	24578
468	21681	24547
469	21732	24506
470	21774	24455
471	21820	24409
472	21869	24366
473	21916	24320
474	21956	24268
475	22000	24219
476	22052	24179
477	22097	24131
478	22147	24089
479	22189	24038
480	22233	23989
481	22277	23941
482	22322	23893
483	22363	23842
484	22412	23798
485	22462	23756
486	22520	23722
487	22561	23671
488	22611	23628
489	22659	23584
490	22711	23543
491	22753	23492
492	22791	23438
493	22835	23390
494	22879	23341
495	22930	23299
496	22976	23253
497	23023	23208
498	23066	23158
499	23115	23115
500	23162	23069
501	23204	23019
502	23246	22968
503	23289	22920
504	23332	22870
505	23374	22819
506	23414	22768
507	23449	22711
508	23500	22669
509	23548	22624
510	23591	22576
511	23639	22531
512	23678	22478
513	23728	22435
514	23775	22390
515	23817	22340
516	23861	22291
517	23900	22239
518	23943	22190
519	23996	22150
520	24046	22107
521	24090	22059
522	24132	22009
523	24180	21965
524	24228	21921
525	24272	21872
526	24317	21826
527	24359	21775
528	24407	21731
529	24452	21684
530	24494	21634
531	24537	21585
532	24576	21533
533	24633	21496
534	24674	21445
535	24731	21409
536	24770	21356
537	24811	21306
538	24862	21264
539	24913	21222
540	24954	21172
541	24990	21117
542	25026	21062
543	25071	21015
544	25119	20971
545	25164	20924
546	25214	20881
547	25254	20830
548	25299	20783
549	25349	20740
550	25393	20693
551	25440	20647
552	25480	20596
553	25535	20557
554	25579	20510
555	25628	20465
556	25672	20418
557	25717	20371
558	25764	20326
559	25812	20281
560	25860	20236
561	25907	20191
562	25951	20143
563	26002	20100
564	26052	20057
565	26096	20010
566	26141	19963
567	26183	19913
568	26231	19869
569	26277	19823
570	26324	19777
571	26407	19759
572	26454	19714
573	26504	19670
574	26551	19625
575	26601	19581
576	26644	19532
577	26694	19489
578	26744	19446
579	26795	19403
580	26837	19354
581	26884	19308
582	26933	19264
583	26983	19221
584	27030	19175
585	27078	19130
586	27122	19082
587	27170	19037
588	27234	19004
589	27283	18959
590	27338	18919
591	27381	18870
592	27433	18828
593	27487	18787
594	27569	18765
595	27627	18727
596	27677	18683
597	27727	18639
598	27773	18592
599	27822	18548
600	27872	18504
601	27919	18458
602	27963	18410
603	28009	18364
604	28056	18317
605	28102	18271
606	28160	18232
607	28226	18198
608	28274	18153
609	28321	18106
610	28369	18061
611	28415	18015
612	28452	17962
613	28488	17909
614	28522	17855
615	28557	17802
616	28598	17752
617	28632	17698
618	28666	17644
619	28699	17590
620	28737	17538
621	28775	17487
622	28811	17434
623	28847	17382
624	28882	17329
625	28915	17275
626	28952	17223
627	28991	17173
628	29027	17121
629	29064	17069
630	29097	17015
631	29131	16962
632	29165	16909
633	29203	16858
634	29242	16808
635	29291	16764
636	29334	16716
637	29372	16665
638	29405	16612
639	29453	16567
640	29513	16529
641	29562	16484
642	29620	16445
643	29673	16403
644	29710	16352
645	29743	16299
646	29777	16246
647	29809	16193
648	29847	16142
649	29913	16107
650	29968	16066
651	30016	16020
652	30063	15975
653	30111	15930
654	30169	15890
655	30214	15843
656	30256	15796
657	30301	15749
658	30338	15698
659	30379	15650
660	30417	15599
661	30453	15548
662	30490	15498
663	30528	15448
664	30570	15400
665	30611	15351
666	30648	15301
667	30685	15250
668	30720	15199
669	30761	15150
670	30799	15101
671	30835	15050
672	30867	14997
673	30902	14946
674	30934	14894
675	30967	14842
676	31005	14792
677	31040	14741
678	31077	14691
679	31113	14641
680	31147	14590
681	31181	14539
682	31215	14487
683	31253	14438
684	31295	14391
685	31330	14340
686	31366	14290
687	31405	14241
688	31460	14200
689	31512	14157
690	31561	14113
691	31605	14067
692	31641	14017
693	31677	13967
694	31743	13930
695	31780	13881
696	31812	13829
697	31844	13777
698	31876	13726
699	31910	13675
700	31947	13626
701	31981	13576
702	32015	13525
703	32048	13475
704	32081	13424
705	32116	13374
706	32154	13325
707	32194	13277
708	32229	13228
709	32265	13178
710	32298	13128
711	32332	13078
712	32367	13028
713	32402	12979
714	32440	12930
715	32476	12881
716	32511	12832
717	32546	12782
718	32579	12732
719	32613	12682
720	32651	12634
721	32693	12588
722	32732	12540
723	32777	12495
724	32815	12447
725	32850	12397
726	32888	12350
727	32922	12300
728	32959	12252
729	32990	12202
730	33022	12152
731	33055	12102
732	33088	12052
733	33122	12003
734	33160	11955
735	33194	11906
736	33225	11856
737	33257	11806
738	33289	11757
739	33320	11707
740	33358	11659
741	33394	11611
742	33429	11563
743	33461	11513
744	33492	11464
745	33526	11415
746	33559	11366
747	33594	11317
748	33630	11270
749	33665	11221
750	33699	11173
751	33731	11124
752	33764	11075
753	33801	11028
754	33839	10981
755	33879	10934
756	33966	10903
757	34004	10856
758	34039	10808
759	34077	10761
760	34116	10714
761	34159	10669
762	34200	10623
763	34234	10575
764	34273	10528
765	34307	10480
766	34342	10432
767	34373	10383
768	34405	10335
769	34440	10287
770	34472	10239
771	34508	10191
772	34545	10144
773	34581	10097
774	34614	10049
775	34646	10000
776	34680	9953
777	34713	9905
778	34750	9858
779	34786	9811
780	34824	9765
781	34856	9716
782	34888	9669
783	34921	9621
784	34957	9574
785	34994	9527
786	35026	9479
787	35060	9432
788	35093	9384
789	35128	9337
790	35165	9291
791	35204	9245
792	35237	9198
793	35272	9151
