iter	MultiClass
134	0.6153753392
135	0.6136098075
136	0.6127720896
137	0.6107228325
138	0.6099009469
139	0.6073983786
140	0.6052175833
141	0.6027160027
142	0.6017556987
143	0.5999507307
144	0.5972835853
145	0.5956223824
146	0.5931018037
147	0.5911104759
148	0.5894410461
149	0.5882581578
150	0.5871990106
151	0.5860383686
152	0.5845019947
153	0.5828504478
154	0.58183599
155	0.5795653697
156	0.5784318126
157	0.576460749
158	0.5755457724
159	0.5747003692
160	0.5738562923
161	0.5732657601
162	0.5710877891
163	0.5695513497
164	0.5677357076
165	0.5650942818
166	0.5629566588
167	0.5618225783
168	0.561071343
169	0.5603924634
170	0.5579327255
171	0.5559983748
172	0.5551909041
173	0.5529016551
174	0.5511754187
175	0.5503157137
176	0.5482746478
177	0.5475345715
178	0.5467777695
179	0.5456151317
180	0.5450987473
181	0.5446508887
182	0.5437004109
183	0.5421083509
184	0.5413780656
185	0.5397984462
186	0.5382641198
187	0.5376133215
188	0.5357496314
189	0.535259693
190	0.5342115273
191	0.5332513474
192	0.5322408822
193	0.5315845305
194	0.5311388277
195	0.530511847
196	0.5290469414
197	0.528036756
198	0.5269707687
199	0.5260580737
200	0.5248411335
201	0.5242266495
202	0.5219719162
203	0.5208841983
204	0.5206211198
205	0.5201236894
206	0.5191130379
207	0.5168130859
208	0.5158454563
209	0.5151633884
210	0.5144733619
211	0.5130768698
212	0.5125206755
213	0.5111315183
214	0.509841363
215	0.5084090452
216	0.507568983
217	0.5055850627
218	0.5051159832
219	0.5045008906
220	0.5040956248
221	0.5035941037
222	0.5022332263
223	0.5014065492
224	0.5001352103
225	0.4991243312
226	0.4982403726
227	0.4976395346
228	0.4963999656
229	0.495454083
230	0.4944650191
231	0.4936025048
232	0.4931336165
233	0.4928561304
234	0.4921178293
235	0.4915686236
236	0.4904610316
237	0.4899228438
238	0.489433762
239	0.4885525778
240	0.4874621867
241	0.4865064732
242	0.4857097519
243	0.484586309
244	0.4841345819
245	0.4836898269
246	0.4828102811
247	0.4821951564
248	0.4808101576
249	0.4804100712
250	0.4793636809
251	0.4787121447
252	0.4781165222
253	0.4764760331
254	0.4754072948
255	0.4749631901
256	0.4743261414
257	0.4731576016
258	0.4719679503
259	0.4713898744
260	0.4696740369
261	0.4690421773
262	0.4686537443
263	0.4677907678
264	0.4665943989
265	0.4657492657
266	0.4652911889
267	0.464555292
268	0.4638943882
269	0.4620640832
270	0.4618225212
271	0.4608681882
272	0.4603572211
273	0.4597228877
274	0.4581329033
275	0.4573910728
276	0.4568559475
277	0.455452975
278	0.4551598948
279	0.4546596254
280	0.4542712475
281	0.4539584915
282	0.4534553309
283	0.4530015226
284	0.4526412211
285	0.4523914028
286	0.4516909305
287	0.4502711656
288	0.4498097857
289	0.4492332282
290	0.4487462365
291	0.4480518088
292	0.4471082432
293	0.4466945455
294	0.4460258285
295	0.4455416894
296	0.4448218654
297	0.4440139163
298	0.4430704617
299	0.4422970115
300	0.4409069009
301	0.4406178726
302	0.4401250463
303	0.4395405886
304	0.4382672431
305	0.4372632746
306	0.4370496559
307	0.4364908271
308	0.4357159996
309	0.4353299901
310	0.4344576889
311	0.4338619883
312	0.4333189526
313	0.4321813582
314	0.4318726704
315	0.4312722477
316	0.4304395413
317	0.4295632739
318	0.4287135433
319	0.4284292956
320	0.4280074614
321	0.4270450661
322	0.4265728317
323	0.425884961
324	0.4249205197
325	0.424438571
326	0.4241180963
327	0.4235895978
328	0.4226454625
329	0.4223386228
330	0.4211363643
331	0.4200206679
332	0.4190836622
333	0.4184535993
334	0.4176412411
335	0.4171753278
336	0.4161393843
337	0.4158654419
338	0.4144793366
339	0.4141444992
340	0.4137069494
341	0.4134718974
342	0.4132156223
343	0.4130300418
344	0.4123084115
345	0.4109677005
346	0.4104001196
347	0.4093211605
348	0.409089795
349	0.4087863631
350	0.4082628339
351	0.4076731765
352	0.4074300375
353	0.4068875424
354	0.4063213669
355	0.4058574881
356	0.4053100048
357	0.4044335795
358	0.4041609358
359	0.40344558
360	0.4025626318
361	0.4021466367
362	0.4017912717
363	0.4013706105
364	0.4008069496
365	0.4001077383
366	0.3991565935
367	0.3985118959
368	0.3978365377
369	0.3967974672
370	0.3964173801
371	0.3961109561
372	0.3958389709
373	0.3949520038
374	0.3947355541
375	0.3938707997
376	0.393535022
377	0.3930216807
378	0.3928323901
379	0.3925139927
380	0.3922351333
381	0.391617128
382	0.3912366999
383	0.3907409444
384	0.3899711982
385	0.3890351838
386	0.3885419754
387	0.3881070865
388	0.3878095012
389	0.3875146949
390	0.3869145671
391	0.3865672844
392	0.3862376114
393	0.3858996996
394	0.385670729
395	0.3849299536
396	0.3842022668
397	0.3838365816
398	0.3835530183
399	0.3833823402
400	0.3829118675
401	0.3824014862
402	0.3820600326
403	0.3817254305
404	0.3806565715
405	0.3800564859
406	0.3794511043
407	0.379285949
408	0.3787855707
409	0.3781924329
410	0.3777603324
411	0.376471431
412	0.3759458225
413	0.3754850351
414	0.3749693627
415	0.3742946035
416	0.3739881824
417	0.3737968617
418	0.3733876655
419	0.3731813755
420	0.3722863537
421	0.3720086691
422	0.3713925714
423	0.3705342443
424	0.3703542074
425	0.369720681
426	0.3693141715
427	0.3688276471
428	0.3684583057
429	0.3676546027
430	0.3667290396
431	0.3661681446
432	0.3660705341
433	0.3658646664
434	0.3652506495
435	0.3648948208
436	0.3642304381
437	0.3636945102
438	0.3632784631
439	0.362572273
440	0.3617932339
441	0.3610239143
442	0.3605891642
443	0.3603015522
444	0.3597849986
445	0.3590243769
446	0.3584548038
447	0.3581625468
448	0.3580016353
449	0.3575421939
450	0.3573334502
451	0.3567577389
452	0.3559971583
453	0.3557332025
454	0.355245273
455	0.3545265898
456	0.3541324288
457	0.3539076682
458	0.3535991095
459	0.3531255452
460	0.3529626881
461	0.3526804255
462	0.3520568251
463	0.35150528
464	0.3512107441
465	0.3504127231
466	0.3493332268
467	0.3491487342
468	0.3489045313
469	0.3484317587
470	0.3483269522
471	0.3481555605
472	0.3478486025
473	0.3477393514
474	0.3476021387
475	0.3473132247
476	0.3470646087
477	0.3469076434
478	0.346528182
479	0.3462623331
480	0.3458132142
481	0.3456721066
482	0.3454233625
483	0.3447902971
484	0.3439482208
485	0.3435487635
486	0.3428309677
487	0.3426098921
488	0.341636466
489	0.3414310027
490	0.3411833301
491	0.3405050044
492	0.3403578553
493	0.3401591245
494	0.3392211352
495	0.3390812154
496	0.3386469167
497	0.3383871564
498	0.3381373803
499	0.337764471
500	0.3376345617
501	0.3373030876
502	0.3370675266
503	0.3365728549
504	0.3364118425
505	0.3362914374
506	0.3357926944
507	0.3351510394
508	0.3349511131
509	0.3347157884
510	0.3345647566
511	0.3339232307
512	0.3333917995
513	0.3327614354
514	0.3324459111
515	0.3322360374
516	0.331978552
517	0.331767187
518	0.3314639898
519	0.3311867729
520	0.3307969295
521	0.3305686378
522	0.3303637711
523	0.3298058457
524	0.3296550461
525	0.3293229165
526	0.3289747276
527	0.3288310588
528	0.3285497414
529	0.3282626365
530	0.327807678
531	0.3276730277
532	0.3271323176
533	0.3265003549
534	0.326058434
535	0.3257249325
536	0.3254169723
537	0.3250969869
538	0.3249666231
539	0.3246489143
540	0.3241014378
541	0.3234913501
542	0.3228421471
543	0.3226822895
544	0.3223093797
545	0.3219301155
546	0.3215681331
547	0.3214174476
548	0.3206711532
549	0.3204374754
550	0.3202297789
551	0.3199437054
552	0.3196672893
553	0.3192534708
554	0.3190326442
555	0.318131974
556	0.3179066221
557	0.3175193471
558	0.3174132302
559	0.3167634446
560	0.3165018191
561	0.3159446986
562	0.315236654
563	0.3149081763
564	0.314624276
565	0.3143425773
566	0.3137854269
567	0.3132551867
568	0.3131706443
569	0.3129599113
570	0.3126066587
571	0.3119570377
572	0.3117816753
573	0.3115952104
574	0.310685653
575	0.3100389112
576	0.309638654
577	0.3094484061
578	0.3087171662
579	0.3084482756
580	0.308245976
581	0.307644655
582	0.3071834364
583	0.3069181507
584	0.3065451796
585	0.3060785883
586	0.3057700071
587	0.3054727864
588	0.3048664144
589	0.3046208476
590	0.3044504758
591	0.3041605153
592	0.3040175942
593	0.3032583747
594	0.303036087
595	0.3029094376
596	0.3027303718
597	0.3024904132
598	0.3021841279
599	0.3020625712
600	0.3018134205
601	0.3014863179
602	0.301311523
603	0.3010314296
604	0.3008633915
605	0.3006689324
606	0.3004992133
607	0.2999394991
608	0.2996555726
609	0.2995508302
610	0.2988281708
611	0.2987470687
612	0.2983769096
613	0.2976113278
614	0.2972526362
615	0.2967356871
616	0.2964652253
617	0.2962837008
618	0.2958048724
619	0.2954461843
620	0.2951227595
621	0.2950313563
622	0.2947824115
623	0.2947117744
624	0.2943430662
625	0.2942020042
626	0.2938537143
627	0.2937743766
628	0.2936400404
629	0.2932479582
630	0.2930713832
631	0.2928492013
632	0.2926614505
633	0.2924657301
634	0.292240309
635	0.2920020738
636	0.2915912565
637	0.2914320898
638	0.2913436749
639	0.2912236293
640	0.290596021
641	0.2904734202
642	0.2901871333
643	0.2896151623
644	0.2892379789
645	0.2889258244
646	0.2885673059
647	0.2882163173
648	0.2876956888
649	0.2874697303
650	0.287302366
651	0.2872157273
652	0.2869475066
653	0.2865933911
654	0.2859532309
655	0.2855456311
656	0.2851287613
657	0.2850721175
658	0.2848806672
659	0.2846400332
660	0.2844147342
661	0.2842507292
662	0.2838587037
663	0.2836307262
664	0.2833117546
665	0.2830716469
666	0.2827232153
667	0.2825742152
668	0.2821438811
669	0.2819409227
670	0.2816187829
671	0.2813632044
672	0.2811964459
673	0.2810069682
674	0.280955447
675	0.2806234881
676	0.2800412469
677	0.2797977295
678	0.2793758827
679	0.279238595
680	0.2788759563
681	0.2787327734
682	0.2785595668
683	0.2783077402
684	0.2780267037
685	0.2778800372
686	0.2777901364
687	0.277556199
688	0.2772866844
689	0.2770210795
690	0.2768536804
691	0.2767030203
692	0.2763008322
693	0.276190822
694	0.2761457087
695	0.2756734428
696	0.2755504561
697	0.2752910387
698	0.2751917163
699	0.2749275793
700	0.2742141144
701	0.2739673646
702	0.2735668085
703	0.2734168251
704	0.2728432606
705	0.2723206746
706	0.2721245437
707	0.2719925517
708	0.2716769846
709	0.2712379196
710	0.2710195869
711	0.2708152691
712	0.2703654986
713	0.2702596577
714	0.2699518975
715	0.269559582
716	0.2694817311
717	0.2690646687
718	0.2689164829
719	0.2688035693
720	0.2683358443
721	0.2680133753
722	0.2675709806
723	0.2674497134
724	0.2673255495
725	0.267155543
726	0.2670146213
727	0.2668873968
728	0.2666239378
729	0.2662808638
730	0.2660617517
731	0.2659682508
732	0.2657826522
733	0.2656276295
734	0.265190855
735	0.2651319414
736	0.2645828182
737	0.2643980092
738	0.2638702851
739	0.2635711189
740	0.2634033087
741	0.2631045445
742	0.2629836264
743	0.2627265563
744	0.2625930212
745	0.2623719378
746	0.2620606538
747	0.2619163803
748	0.2615780134
749	0.2612465419
750	0.2608829211
751	0.2605630475
752	0.2600222487
753	0.2598009866
754	0.2596645529
755	0.2590495682
756	0.2586891757
757	0.2583841508
758	0.2580039063
759	0.2574159909
760	0.2572088808
761	0.2570144403
762	0.2567325582
763	0.2566120555
764	0.2564622485
765	0.2563272887
766	0.2562454717
767	0.2560765806
768	0.2559693976
769	0.255826494
770	0.2557616162
771	0.2556577176
772	0.2552973903
773	0.255014634
774	0.2547568403
775	0.2546656752
776	0.2542969834
777	0.2538969625
778	0.2535930914
779	0.2534239961
780	0.2532732359
781	0.2530704605
782	0.2530025295
783	0.2526588282
784	0.2524876136
785	0.2523571401
786	0.2522227491
787	0.2520953858
788	0.2516698827
789	0.2515273483
790	0.2511654388
791	0.2508403904
792	0.2507148366
793	0.2501021661
794	0.2498461911
795	0.2496796507
796	0.2496189611
797	0.2495440336
798	0.249108215
799	0.2489945431
800	0.2488065832
801	0.2484080823
802	0.2479547944
803	0.2476658195
804	0.2475068686
805	0.2473870749
806	0.2468006009
807	0.2460741255
808	0.2458592639
809	0.2455922876
810	0.2450605036
811	0.2447831361
812	0.2445590346
813	0.2443874315
814	0.2438118634
815	0.2436424589
816	0.243372589
817	0.2432840898
818	0.2431659686
819	0.2430829111
820	0.2427999258
821	0.2426601897
822	0.2424778548
823	0.2421680322
824	0.2417890412
825	0.2417463375
826	0.2413786928
827	0.2411999354
828	0.2410527844
829	0.2408006296
830	0.2404512728
831	0.2403243785
832	0.2400156852
833	0.2398643274
834	0.2397646641
835	0.2394183733
836	0.2393421094
837	0.2392831731
838	0.2390213836
839	0.2387454718
840	0.2384499027
841	0.2383276054
842	0.2382157536
843	0.2380415341
844	0.2378893076
845	0.2378125671
846	0.237712242
847	0.2376440815
848	0.2373240519
849	0.2368749012
850	0.236468759
851	0.2364203437
852	0.2361829918
853	0.2360944202
854	0.2357625943
855	0.2355688279
856	0.2354563314
857	0.2352801173
858	0.2349148631
859	0.2348098656
860	0.234489269
861	0.2343435804
862	0.2339692009
863	0.2338487645
864	0.2337585232
865	0.2336283326
866	0.2331300468
867	0.2330402812
868	0.2328484718
869	0.2327993181
870	0.2326841413
871	0.2323829335
872	0.2321012312
873	0.2319548659
874	0.2318496612
875	0.2317012042
876	0.2315336775
877	0.2313974572
878	0.2310663761
879	0.2309525557
880	0.2308442953
881	0.2306971158
882	0.230570449
883	0.230395711
884	0.2302345056
885	0.2300766534
886	0.2298694036
887	0.2295630651
888	0.2293612016
889	0.2291579181
890	0.2290641633
891	0.2289396438
892	0.2288583886
893	0.2287503509
894	0.2286248828
895	0.2284481442
896	0.2282179541
897	0.2278245804
898	0.2277292563
899	0.2274770299
900	0.2274323726
901	0.2273964186
902	0.2272258458
903	0.2270078701
904	0.2269125696
905	0.2267363642
906	0.2261613278
907	0.2260915178
908	0.2260076452
909	0.2259445844
910	0.2258668907
911	0.225782273
912	0.225657289
913	0.2252478329
914	0.2250716156
915	0.2250288372
916	0.2248136745
917	0.2247800619
918	0.2246280981
919	0.2245418182
920	0.2243563883
921	0.224237105
922	0.2240420046
923	0.2239913204
924	0.2238627941
925	0.2238248199
926	0.2237522041
927	0.2236539765
928	0.2230870785
929	0.2226603243
930	0.2226202838
931	0.2225606845
932	0.2223425719
933	0.2222584168
934	0.2221773081
935	0.2219657966
936	0.2218527208
937	0.2217466588
938	0.2215915547
939	0.2213448006
940	0.2212512811
941	0.2207770098
942	0.220648667
943	0.2204910894
944	0.2204160077
945	0.2202707365
946	0.2199066325
947	0.2197642922
948	0.2193847953
949	0.2193618913
950	0.2192537514
951	0.2191552109
952	0.2190612971
953	0.2188535303
954	0.2186794114
955	0.2185578967
956	0.2182490777
957	0.2181180239
958	0.2177862062
959	0.2176775079
960	0.2175417556
961	0.2174125158
962	0.21711082
963	0.2169134477
964	0.2166076694
965	0.2164461889
966	0.2161673952
967	0.2160928273
968	0.2159374198
969	0.2157187416
970	0.2152357627
971	0.2150984072
972	0.2149617106
973	0.2148954561
974	0.2148191286
975	0.2146937791
976	0.2146019958
977	0.2144652889
978	0.2142666252
979	0.2141632522
980	0.2140853599
981	0.214045865
982	0.2136672332
983	0.2136329664
984	0.2135824606
985	0.2134923837
986	0.2134370729
987	0.2132632654
988	0.2131134409
989	0.213015032
990	0.2128155815
991	0.2127504213
992	0.2126251764
993	0.212541814
994	0.2123884258
995	0.2123365511
996	0.2119694588
997	0.2118948629
998	0.2118488439
999	0.2116743916
